papel,segmento,cotacao,ffo_yield,dividend_yield,p_sobre_vp,valor_de_mercado,liquidez,qtd_de_imoveis,preco_do_m2,aluguel_por_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val Mob,9.28,0.0467,0.08900000000000001,96.0,223066000.0,862339.0,0.0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,70.56,0.1747,0.0779,77.0,332273000.0,65134.0,1.0,4344.1,1068.0,0.2459,0.039
AEFI11,Outros,174.9,0.0803,0.0,121.0,411893000.0,0.0,7.0,4272.21,34717.0,0.08130000000000001,0.0
AFCR11,Desconhecido,103.15,0.1821,0.0,99.0,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val Mob,98.01,0.10890000000000001,0.13449999999999998,102.0,295937000.0,816916.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val Mob,91.6,0.1072,0.0226,99.0,63313200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.009300000000000001,0.0,1140.0,14317200000.0,0.0,77.0,106755.0,1121.97,0.0105,0.0705
AGRX11,Híbrido,10.72,0.0582,0.1349,106.0,102496000.0,265562.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,70.41,0.12890000000000001,0.1189,74.0,339727000.0,513373.0,2.0,14339.4,2195.11,0.1531,0.0
ALMI11,Lajes Corporativas,799.0,0.0229,0.0,39.0,88830400.0,43722.0,1.0,1955.23,17920.0,0.0917,0.5625
ALZM11,Títulos e Val Mob,93.47,0.1051,0.1051,101.0,64605700.0,66358.0,0.0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,115.39,0.0535,0.1199,108.0,1137790000.0,2410520.0,13.0,7147.01,56316.0,0.0788,0.0
ANCR11B,Shoppings,3462.98,0.09269999999999999,0.0433,97.0,1646010000.0,202464.0,5.0,9097.66,1010.36,0.11109999999999999,0.044199999999999996
APTO11,Híbrido,9.91,0.1309,0.1174,94.0,39767400.0,42553.0,5.0,16846.3,1102.41,0.0654,0.0
ARCT11,Híbrido,87.13,0.1432,0.0642,87.0,323093000.0,0.0,10.0,71076.0,6574.0,0.0925,0.0
ARRI11,Títulos e Val Mob,8.92,0.10099999999999999,0.1432,99.0,116462000.0,247789.0,0.0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val Mob,100.0,0.0021,0.022099999999999998,99.0,49205000.0,2456.0,0.0,0.0,0.0,0.0,0.0
ASMT11,Híbrido,49.18,0.1595,0.0906,58.0,50031600.0,29313.0,3.0,4585.75,74154.0,0.1617,0.0
ATSA11,Shoppings,65.0,0.0195,0.0054,80.0,113824000.0,445.0,1.0,3325.54,7814.0,0.0235,0.254
BARI11,Títulos e Val Mob,86.0,0.1215,0.1266,89.0,398540000.0,836814.0,1.0,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1113.19,0.301,0.22940000000000002,52.0,144715000.0,429886.0,2.0,1573.47,52600.0,0.3343,0.0
BBFO11,Títulos e Val Mob,77.0,0.1761,0.10300000000000001,94.0,308300000.0,250327.0,0.0,0.0,0.0,0.0,0.0
BBGO11,Títulos e Val Mob,91.0,0.1151,0.1243,93.0,364470000.0,541380.0,0.0,0.0,0.0,0.0,0.0
BBPO11,Lajes Corporativas,97.39,0.1074,0.105,98.0,1550420000.0,1309450.0,63.0,3958.96,46220.0,0.1167,0.0
BBRC11,Outros,103.9,0.1091,0.1092,96.0,165201000.0,129217.0,20.0,10254.6,1432.36,0.13970000000000002,0.0
BBVJ11,Lajes Corporativas,62.99,0.0124,0.0,95.0,197789000.0,0.0,1.0,9620.13,49116.0,0.051100000000000007,0.44659999999999994
BCFF11,Títulos e Val Mob,72.98,0.09880000000000001,0.0946,96.0,1838100000.0,2384340.0,0.0,0.0,0.0,0.0,0.0
BCIA11,Títulos e Val Mob,106.67,0.09630000000000001,0.0817,98.0,396710000.0,903488.0,0.0,0.0,0.0,0.0,0.0
BCRI11,Títulos e Val Mob,76.62,0.1775,0.1417,77.0,479478000.0,655874.0,0.0,0.0,0.0,0.0,0.0
BICE11,Títulos e Val Mob,950.0,0.079,0.1288,97.0,74384000.0,23573.0,0.0,0.0,0.0,0.0,0.0
BICR11,Títulos e Val Mob,98.44,0.1396,0.09849999999999999,98.0,49220000.0,694.0,0.0,0.0,0.0,0.0,0.0
BIME11,Híbrido,7.65,0.13949999999999999,0.1452,86.0,44718900.0,82499.0,2.0,1258.7,0.0,0.0,0.0
BLCA11,Lajes Corporativas,133.0,0.0506,0.0524,98.0,212800000.0,59862.0,1.0,52470.7,3102.57,0.0591,0.0
BLCP11,Logística,91.0,0.0541,0.022000000000000002,81.0,208962000.0,0.0,2.0,3014.16,19989.0,0.0663,0.0
BLMC11,Títulos e Val Mob,81.65,0.1223,0.1324,83.0,32619200.0,4724.0,0.0,0.0,0.0,0.0,0.0
BLMG11,Outros,67.79,0.1149,0.138,78.0,258320000.0,506493.0,1.0,32949.0,4141.0,0.1257,0.0
BLMO11,Lajes Corporativas,20999.0,0.021099999999999997,0.030600000000000002,63.0,79733200.0,0.0,1.0,12365.4,56487.0,0.045700000000000005,0.0
BLMR11,Títulos e Val Mob,7.36,0.1177,0.1131,92.0,187986000.0,487681.0,0.0,0.0,0.0,0.0,0.0
BLUR11,Títulos e Val Mob,100.39,0.0512,0.1242,105.0,9035100.0,3983.0,0.0,0.0,0.0,0.0,0.0
BMLC11,Híbrido,101.0,0.0762,0.1182,91.0,100839000.0,23718.0,2.0,11739.6,1282.66,0.1093,0.0
BNFS11,Outros,119.5,0.1423,0.1367,130.0,83650000.0,153687.0,18.0,7677.88,1312.01,0.1709,0.0
BPFF11,Outros,72.05,0.1624,0.10060000000000001,93.0,323672000.0,372997.0,0.0,0.0,0.0,0.0,0.0
BPML11,Shoppings,65.0,0.0562,0.0264,49.0,279830000.0,61142.0,4.0,3526010.0,704763.4,0.1999,0.0833
BPRP11,Outros,109.15,0.09759999999999999,0.0989,100.0,147335000.0,811.0,1.0,6383.51,64864.0,0.1016,0.0
BRCO11,Logística,117.93,0.0679,0.0717,98.0,1742860000.0,4195050.0,11.0,3230.86,30867.0,0.0955,0.1206
BRCR11,Híbrido,67.4,0.0806,0.0852,67.0,1795410000.0,1836420.0,9.0,11952.5,1223.35,0.1024,0.1198
BREV11,Híbrido,94.02,0.0729,0.0809,80.0,90936200.0,1716.0,13.0,16410.7,1425.56,0.08689999999999999,0.0
BRIM11,Residencial,1030.22,0.0708,0.17629999999999998,94.0,127888000.0,0.0,1.0,7164.34,0.0,0.0,0.0
BRIP11,Híbrido,950.01,0.1324,0.2134,100.0,204703000.0,134.0,7.0,7561.95,0.0,0.0,0.0
BRLA11,Outros,160.0,0.05,0.0834,102.0,502387000.0,127181.0,7.0,3769.18,19043.0,0.050499999999999996,0.0
BROF11,Híbrido,69.6,0.0016,0.0268,66.0,808113000.0,2098610.0,2.0,8802.13,1474.0,0.0017000000000000001,0.0506
BTAL11,Outros,97.45,0.0814,0.0955,89.0,583018000.0,901961.0,9.0,1658.25,15983.0,0.0964,0.0
BTCI11,Títulos e Val Mob,9.46,0.1661,0.084,92.0,941470000.0,2345020.0,0.0,0.0,0.0,0.0,0.0
BTCR11,Títulos e Val Mob,88.0,0.12480000000000001,0.056100000000000004,92.0,423289000.0,0.0,0.0,0.0,0.0,0.0,0.0
BTLG11,Híbrido,103.16,0.051100000000000007,0.0894,105.0,2173260000.0,7547390.0,20.0,4350.31,21728.0,0.0499,0.008
BTRA11,Outros,84.12,0.0649,0.1096,71.0,283027000.0,574102.0,6.0,388.0,48.0,0.125,0.0
BTSG11,Híbrido,140.0,0.10890000000000001,0.058899999999999994,102.0,108502000.0,165191.0,1.0,5750.8,68121.0,0.1185,0.0
BTWR11,Lajes Corporativas,107.0,0.059800000000000006,0.054400000000000004,95.0,86591900.0,0.0,1.0,4341.04,28146.0,0.06480000000000001,0.0
BVAR11,Outros,100.01,0.7465,1.804,9.0,62560300.0,0.0,62.0,47750.0,39088.0,0.8186,0.0754
CACR11,Desconhecido,105.05,0.1788,0.1533,101.0,189871000.0,572208.0,0.0,0.0,0.0,0.0,0.0
CARE11,Híbrido,1.98,-0.036000000000000004,0.0,24.0,70824400.0,21586.0,1.0,0.0,0.0,0.0037,0.0
CBOP11,Lajes Corporativas,36.01,0.11199999999999999,0.1133,49.0,50954200.0,9221.0,1.0,3127.25,26821.0,0.0858,0.39649999999999996
CCME11,Outros,110.0,0.0449,0.0659,108.0,330421000.0,200.0,1.0,22206.5,3542.0,0.0016,0.0
CCRF11,Títulos e Val Mob,87.0,0.0817,0.10880000000000001,87.0,136755000.0,3831.0,0.0,0.0,0.0,0.0,0.0
CEOC11,Lajes Corporativas,62.32,0.10279999999999999,0.1115,80.0,113154000.0,86693.0,1.0,6778.94,82231.0,0.1213,0.0
