papel,segmento,cotacao,ffo_yield,dividend_yield,p_sobre_vp,valor_de_mercado,liquidez,qtd_de_imoveis,preco_do_m2,aluguel_por_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val Mob,9.25,0.046799999999999994,0.08929999999999999,0.96,222345000.0,885621.0,0.0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,70.67,0.1744,0.07780000000000001,0.77,332791000.0,65341.0,1.0,4350.88,1068.0,0.2455,0.039
AEFI11,Outros,174.9,0.0803,0.0,1.21,411893000.0,0.0,7.0,4272.21,347.17,0.08130000000000001,0.0
AFCR11,Desconhecido,103.15,0.1821,0.0,0.99,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val Mob,97.93,0.109,0.1346,1.02,295695000.0,822252.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val Mob,91.6,0.1072,0.0226,0.99,63313200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.009300000000000001,0.0,11.4,14317200000.0,0.0,77.0,106755.0,1121.97,0.0105,0.0705
AGRX11,Híbrido,10.7,0.0583,0.1352,1.06,102305000.0,269280.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,70.06,0.1295,0.1195,0.74,338039000.0,510454.0,2.0,14268.1,2195.11,0.15380000000000002,0.0
ALMI11,Lajes Corporativas,814.5,0.0225,0.0,0.4,90553700.0,61251.0,1.0,1993.16,179.2,0.08990000000000001,0.5625
ALZM11,Títulos e Val Mob,94.89,0.1035,0.1036,1.03,65587200.0,68809.0,0.0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,113.19,0.0545,0.1222,1.06,1116100000.0,2516990.0,13.0,7010.75,563.16,0.0803,0.0
ANCR11B,Shoppings,3462.98,0.09269999999999999,0.0433,0.97,1646010000.0,197862.0,5.0,9097.66,1010.36,0.11109999999999999,0.044199999999999996
APTO11,Híbrido,9.95,0.1304,0.11699999999999999,0.94,39927900.0,43803.0,5.0,16914.3,1102.41,0.0652,0.0
ARCT11,Híbrido,87.13,0.1432,0.0642,0.87,323093000.0,0.0,10.0,710.76,65.74,0.0925,0.0
ARRI11,Títulos e Val Mob,9.02,0.0999,0.1416,1.0,117767000.0,246076.0,0.0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val Mob,100.0,0.0021,0.022099999999999998,0.99,49205000.0,2402.0,0.0,0.0,0.0,0.0,0.0
ASMT11,Híbrido,49.96,0.157,0.0892,0.59,50825100.0,28703.0,3.0,4658.48,741.54,0.1592,0.0
ATSA11,Shoppings,66.0,0.0192,0.0053,0.81,115575000.0,430.0,1.0,3376.7,78.14,0.0231,0.254
BARI11,Títulos e Val Mob,86.05,0.12140000000000001,0.1265,0.89,398772000.0,829767.0,1.0,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1110.0,0.3018,0.23010000000000003,0.52,144300000.0,414875.0,2.0,1568.96,526.0,0.3353,0.0
BBFO11,Títulos e Val Mob,75.23,0.18030000000000002,0.1054,0.92,301213000.0,259315.0,0.0,0.0,0.0,0.0,0.0
BBGO11,Títulos e Val Mob,93.44,0.1121,0.121,0.96,374243000.0,534721.0,0.0,0.0,0.0,0.0,0.0
BBPO11,Lajes Corporativas,97.7,0.107,0.10460000000000001,0.98,1555350000.0,1259690.0,63.0,3971.57,462.2,0.1164,0.0
BBRC11,Outros,105.5,0.1074,0.1075,0.98,167745000.0,126800.0,20.0,10412.5,1432.36,0.1376,0.0
BBVJ11,Lajes Corporativas,62.99,0.0124,0.0,0.95,197789000.0,0.0,1.0,9620.13,491.16,0.051100000000000007,0.44659999999999994
BCFF11,Títulos e Val Mob,73.48,0.0981,0.094,0.97,1850700000.0,2390930.0,0.0,0.0,0.0,0.0,0.0
BCIA11,Títulos e Val Mob,104.99,0.09789999999999999,0.083,0.97,390462000.0,861769.0,0.0,0.0,0.0,0.0,0.0
BCRI11,Títulos e Val Mob,76.83,0.177,0.1413,0.77,480792000.0,654940.0,0.0,0.0,0.0,0.0,0.0
BICE11,Títulos e Val Mob,947.99,0.07919999999999999,0.1291,0.97,74226700.0,67743.0,0.0,0.0,0.0,0.0,0.0
BICR11,Títulos e Val Mob,97.99,0.14029999999999998,0.099,0.97,48995000.0,719.0,0.0,0.0,0.0,0.0,0.0
BIME11,Híbrido,7.71,0.1384,0.1441,0.87,45069600.0,77647.0,2.0,1268.57,0.0,0.0,0.0
BLCA11,Lajes Corporativas,133.0,0.0506,0.0524,0.98,212800000.0,58517.0,1.0,52470.7,3102.57,0.0591,0.0
BLCP11,Logística,91.0,0.0541,0.022000000000000002,0.81,208962000.0,0.0,2.0,3014.16,199.89,0.0663,0.0
BLMC11,Títulos e Val Mob,81.64,0.1223,0.1324,0.83,32615200.0,4562.0,0.0,0.0,0.0,0.0,0.0
BLMG11,Outros,67.99,0.11460000000000001,0.1376,0.78,259082000.0,503314.0,1.0,330.46,41.41,0.1253,0.0
BLMO11,Lajes Corporativas,20999.0,0.021099999999999997,0.030600000000000002,0.63,79733200.0,0.0,1.0,12365.4,564.87,0.045700000000000005,0.0
BLMR11,Títulos e Val Mob,7.36,0.1177,0.1131,0.92,187986000.0,489249.0,0.0,0.0,0.0,0.0,0.0
BLUR11,Títulos e Val Mob,100.39,0.0512,0.1242,1.05,9035100.0,3892.0,0.0,0.0,0.0,0.0,0.0
BMLC11,Híbrido,104.88,0.07339999999999999,0.1139,0.95,104713000.0,22928.0,2.0,12190.4,1282.66,0.1052,0.0
BNFS11,Outros,119.58,0.1422,0.1367,1.3,83706000.0,147966.0,18.0,7683.02,1312.01,0.17079999999999998,0.0
BPFF11,Outros,72.0,0.1625,0.1007,0.93,323447000.0,365078.0,0.0,0.0,0.0,0.0,0.0
BPML11,Shoppings,65.0,0.0562,0.0264,0.49,279830000.0,56134.0,4.0,3526010.0,704763.4,0.1999,0.0833
BPRP11,Outros,109.15,0.09759999999999999,0.0989,1.0,147335000.0,793.0,1.0,6383.51,648.64,0.1016,0.0
BRCO11,Logística,118.25,0.0677,0.07150000000000001,0.99,1747590000.0,4132560.0,11.0,3239.63,308.67,0.0953,0.1206
BRCR11,Híbrido,68.45,0.0794,0.0839,0.68,1823380000.0,1820000.0,9.0,12138.7,1223.35,0.1008,0.1198
BREV11,Híbrido,112.8,0.060700000000000004,0.0674,0.96,109100000.0,1789.0,13.0,19688.6,1425.56,0.0724,0.0
