fundos,setor,preco,liquidez_diaria,p_sobre_vp,ultimo_dividendo,dividend_yield,dy_12m_acumulado,dy_12m_media,dy_year,variacao_preco,rent_periodo,rent_acumulada,patrimonio_liq,vpa,p_sobre_vpa,dy_patrimonial,variação_patrimonial,rentab_patr_periodo,rentab_patr_acumulada,vacancia_fisica,vacancia_financeira,quant_ativos
AAZQ11,Indefinido,9.35,815428.21,1.01,0.12,0.0128,0.0954,0.0159,0.0954,-0.034,-0.0216,0.0544,230646828.88,9.6,9.7,0.0146,0.0,0.0,0.0,0.0,0.0,0
ABCP11,Shoppings,72.25,48644.67,0.79,0.5,0.007,0.0889,0.0074,0.0514,0.0048,0.0118,0.0227,432162687.0,91.82,7.9,0.0065,-0.0018,0.0047,0.0712,0.0,0.0,1
AFHI11,Papéis,96.8,1578741.03,1.01,1.05,0.0107,0.1308,0.0109,0.0787,-0.0089,0.0017,0.0918,290388018.85,94.82,10.2,0.0101,-0.0094,0.0006,0.05,0.0,0.0,0
AGRX11,Outros,10.58,362002.67,0.0,0.12,0.0108,0.1578,0.0143,0.1055,-0.0245,-0.014,0.2057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AIEC11,Lajes Corporativas,71.79,659991.79,0.76,0.76,0.0106,0.1313,0.0109,0.0737,0.0102,0.0209,0.1089,456469305.49,102.56,7.0,0.0073,0.0024,0.0098,0.094,0.0,0.0,2
ALMI11,Lajes Corporativas,755.0,74698.75,0.37,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225487777.2,2046.78,3.7,0.0,-0.0005,-0.0005,0.009,0.0,0.0,1
ALZM11,Fundo de Fundos,92.09,86000.82,1.0,0.71,0.0076,0.1257,0.0105,0.0661,0.0068,0.0144,0.1541,63907856.47,100.5,9.2,0.0107,0.0233,0.0343,0.0823,0.0,0.0,0
ALZR11,Misto,116.18,2767997.06,1.09,0.83,0.007,0.124,0.0103,0.0431,0.0288,0.036,0.0777,1051986451.99,106.94,10.9,0.0068,-0.0003,0.0065,0.0726,0.0,0.0,13
APTO11,Imóveis Residenciais,9.91,52937.91,0.94,0.1,0.0101,0.1359,0.0113,0.0809,-0.002,0.0081,0.224,42128729.72,9.97,9.9,0.01,-0.0078,0.0022,0.1314,0.0,0.0,5
ARCT11,Imóveis Industriais e Logísticos,87.13,1053903.45,0.87,0.5,0.0,0.1255,0.0105,0.0,0.0,0.0,0.0,371534654.03,99.77,8.7,0.0076,0.0004,0.008,0.0631,0.0,0.0,9
ARRI11,Papéis,9.0,215871.15,1.0,0.1,0.0108,0.1499,0.0125,0.0827,0.0392,0.0504,0.0845,117319779.19,9.1,9.9,0.0143,-0.0215,-0.0075,-0.8887,0.0,0.0,0
ASMT11,Lajes Corporativas,49.29,7095.97,0.58,0.77,0.0111,0.115,0.0096,0.0111,-0.055,-0.0446,-0.0446,85749077.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
ATSA11,Shoppings,60.0,1843.36,0.74,0.05,0.0,0.0099,0.0008,0.0007,0.0,0.0,0.0,142863612.9,90.48,6.6,0.0006,0.0017,0.0022,0.0083,0.0,0.0,1
AURB11,Imóveis Comerciais - Outros,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73726402.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
BARI11,Papéis,87.63,680024.55,0.9,0.9,0.0101,0.1269,0.0106,0.0756,0.0469,0.0575,0.0978,450028367.25,99.63,8.8,0.009,-0.007,0.0019,0.0818,0.0,0.0,0
BBFI11B,Lajes Corporativas,1015.2,171639.24,0.47,6.21,0.0055,0.1456,0.0121,0.0775,-0.0171,-0.0117,-0.3881,279185668.89,2854.8,3.6,0.0093,0.0012,0.0106,0.0606,0.0,0.0,3
BBFO11,Fundo de Fundos,74.92,264155.0,0.91,0.7,0.0092,0.1185,0.0099,0.0731,0.0384,0.0479,0.2198,329004492.49,82.36,9.1,0.0073,-0.0419,-0.0349,0.0475,0.0,0.0,0
BBGO11,Indefinido,92.14,430869.03,0.84,1.01,0.0108,0.1474,0.0123,0.0969,0.0354,0.0465,0.2588,392550389.63,98.01,9.4,0.0104,0.0008,0.0112,0.0931,0.0,0.0,0
BBIM11,Papéis,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32087366.67,30.36,0.0,0.0142,-0.0238,-0.01,-0.3031,0.0,0.0,0
BBPO11,Agências de Bancos,97.5,1602931.33,0.98,0.9,0.0091,0.1211,0.0101,0.07,-0.0029,0.0061,0.2373,1588185145.13,100.37,9.7,0.0092,0.0006,0.0098,0.1585,0.0,0.0,63
BBRC11,Agências de Bancos,112.0,139828.45,1.04,1.13,0.0103,0.1229,0.0102,0.0739,0.0468,0.0576,0.1828,171950165.41,106.62,10.5,0.0093,-0.0009,0.0084,0.093,0.0,0.0,20
BCFF11,Fundo de Fundos,75.15,2777661.97,0.99,0.56,0.0074,0.0981,0.0082,0.0581,0.0519,0.0597,0.2225,1915103196.86,75.57,9.9,0.0074,-0.0303,-0.0231,0.013,0.0,0.0,0
BCIA11,Fundo de Fundos,101.79,633086.36,0.92,0.82,0.0077,0.1044,0.0087,0.0623,0.0771,0.0854,0.327,409523791.73,101.16,10.1,0.0075,-0.0566,-0.0495,0.0465,0.0,0.0,0
BCRI11,Papéis,71.14,686586.42,0.72,0.69,0.009,0.1216,0.0101,0.068,-0.0435,-0.0349,-0.1433,619928797.11,100.74,7.1,0.0099,-0.0093,0.0005,0.0621,0.0,0.0,0
BDIF11,Fundo de Desenvolvimento,93.01,1327459.7,0.0,1.25,0.0134,0.1647,0.0137,0.076,0.0387,0.0526,0.1449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BICE11,Fundo de Fundos,1000.0,561471.0,1.01,7.79,0.0078,0.0363,0.003,0.0309,0.0108,0.0187,0.0187,89018475.76,1017.8,9.8,0.0157,0.0506,0.0671,0.0819,0.0,0.0,0
BICR11,Papéis,96.33,893.0,0.95,0.66,0.0,0.07,0.0058,0.034,0.0,0.0,0.0,50897643.19,99.22,9.7,0.0111,-0.0164,-0.0055,0.0867,0.0,0.0,0
BIDB11,Fundo de Desenvolvimento,88.38,198970.12,0.0,0.51,0.0058,0.1137,0.0095,0.0721,-0.017,-0.0113,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BIME11,Indefinido,7.55,61632.85,0.86,0.08,0.0102,0.1232,0.0103,0.0796,-0.0025,0.0076,0.1091,51644433.24,9.01,8.4,0.0067,-0.0071,-0.0005,0.0611,0.0,0.0,2
BIPD11,Indefinido,0.0,0.0,0.0,10.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48311723.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BLCA11,Indefinido,132.0,1920.64,0.97,0.57,0.0,0.0228,0.0019,0.0104,0.0,0.0,0.0,218094085.09,89.26,14.8,0.0063,-0.0032,0.0031,-0.1247,0.0,0.0,1
BLCP11,Imóveis Industriais e Logísticos,91.0,103127.5,0.81,0.56,0.0063,0.0492,0.0041,0.0364,0.0,0.0,0.0,256580339.9,111.74,8.1,0.005,-0.0002,0.0049,0.1581,0.0,0.0,2
BLMC11,Papéis,81.24,6172.41,0.82,0.79,0.0094,0.1264,0.0105,0.0781,0.0304,0.0401,0.1476,39473511.07,96.52,8.4,0.0069,-0.0169,-0.0101,0.0281,0.0,0.0,0
BLMG11,Imóveis Industriais e Logísticos,66.25,529323.82,0.76,0.7,0.0103,0.1259,0.0105,0.0776,-0.0004,0.0099,-0.0504,332953514.57,91.33,7.3,0.0088,-0.0257,-0.0172,-0.0152,0.0,0.0,1
BLMO11,Lajes Corporativas,20538.0,20538.0,0.61,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126873438.15,29561.52,6.9,0.0009,0.0022,0.0031,0.1359,0.0,0.0,1
BLMR11,Fundo de Fundos,7.35,387803.82,0.91,0.06,0.008,0.1139,0.0095,0.0654,0.0575,0.066,0.1612,205260921.23,7.82,9.4,0.0095,-0.0566,-0.0477,0.0305,0.0,0.0,0
BLUR11,Papéis,100.5,4269.94,1.05,1.03,0.0102,0.0518,0.0043,0.0213,0.0,0.0,0.0,8625825.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BMLC11,Lajes Corporativas,105.1,33293.88,0.95,0.76,0.0073,0.1177,0.0098,0.0772,0.0062,0.0135,0.123,110597064.89,109.14,9.6,0.0081,-0.0005,0.0076,0.041,0.0,0.0,2
